gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os11g10760,0.83,3.40E-11,6.109,10.236,"NBS-LRR disease resistance protein, putative "
LOC_Os07g40986,0.83,1.43E-10,30.773,51.702,"NAD dependent epimerase/dehydratase family protein, putative "
LOC_Os01g03690,0.83,4.18E-08,3.819,6.404,TKL_IRAK_DUF26-lg.1 - DUF26 kinases have homology to DUF26 containing loci
LOC_Os05g49290,0.83,1.62E-06,108.054,179.674,"3-ketoacyl-CoA synthase, putative "
LOC_Os08g06120,0.83,5.74E-06,8.808,14.698,B3 DNA binding domain containing protein
LOC_Os09g16760,0.83,1.59E-06,3.849,6.419,"ankyrin repeat family protein, putative "
LOC_Os02g41550,0.83,8.63E-12,18.643,31.167,FAD binding domain of DNA photolyase domain containing protein
LOC_Os07g07320,0.83,2.36E-10,29.323,48.907,"glutathione S-transferase, putative "
LOC_Os08g26880,0.83,5.41E-09,46.922,78.832,bZIP transcription factor domain containing protein 
LOC_Os01g59340,0.83,1.80E-08,26.218,43.613,"dihydropyrimidinase, putative "
LOC_Os05g49040,0.83,1.13E-05,3.504,5.873,expressed protein
LOC_Os04g58860,0.83,7.46E-12,27.428,45.830,harpin-induced protein 1 domain containing protein 
LOC_Os02g02970,0.83,3.58E-05,3.231,5.417,expressed protein
LOC_Os11g11980,0.83,2.42E-10,47.659,79.411,expressed protein
LOC_Os01g22600,0.83,2.56E-09,8.566,14.266,"mitochondrial carrier protein, putative "
LOC_Os12g12260,0.83,1.39E-10,9.468,15.804,"diacylglycerol kinase 1, putative "
LOC_Os08g13430,0.82,6.84E-05,2.880,4.783,expressed protein
LOC_Os03g25150,0.82,1.31E-08,58.705,97.401,"transposon protein, putative unclassified "
LOC_Os02g52150,0.82,2.29E-06,9.575,15.896,"heat shock 22 kDa protein, mitochondrial precursor, putative "
LOC_Os11g06010,0.82,2.73E-10,17.836,29.798,"helix-loop-helix DNA-binding protein, putative "
LOC_Os07g08760,0.82,1.20E-12,43.037,71.624,"START domain containing protein, putative "
LOC_Os04g32370,0.82,3.42E-07,11.657,19.290,"hydroxyproline-rich glycoprotein family protein, putative "
LOC_Os07g35140,0.82,1.01E-07,6.607,10.950,"receptor-like serine-threonine protein kinase, putative "
LOC_Os09g08390,0.82,3.28E-11,27.974,46.430,CRAL/TRIO domain containing protein 
LOC_Os04g52900,0.82,3.63E-08,116.344,192.621,"ABC transporter family protein, putative "
LOC_Os06g43430,0.82,3.91E-05,2.817,4.689,"cytochrome P450, putative "
LOC_Os06g13870,0.82,6.73E-05,4.102,6.800,"U-box protein CMPG1, putative "
LOC_Os02g55590,0.82,2.33E-12,22.645,37.660,expressed protein
LOC_Os09g32570,0.82,3.07E-06,13.076,21.615,alcohol dehydrogenase GroES-like domain containing protein 
LOC_Os06g06090,0.82,4.28E-10,44.755,74.051,"CGMC_MAPKCMGC_2_ERK.12 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases"
LOC_Os10g37430,0.82,8.20E-11,31.943,52.863,expressed protein
LOC_Os03g04310,0.82,6.98E-08,18.516,30.578,"BHLH transcription factor, putative "
LOC_Os08g31980,0.82,6.84E-10,7.521,12.489,"trehalose-6-phosphate synthase, putative "
LOC_Os01g57450,0.82,3.84E-09,26.732,44.137,"universal stress protein domain containing protein, putative "
LOC_Os03g08220,0.82,2.72E-10,10.322,17.057,"lipoxygenase protein, putative "
LOC_Os01g24070,0.81,3.17E-11,31.673,52.444,GATA zinc finger domain containing protein 
LOC_Os05g41290,0.81,1.72E-05,3.937,6.471,"disease resistance RPP13-like protein 1, putative "
LOC_Os01g47635,0.81,1.67E-08,23.844,39.601,expressed protein
LOC_Os02g08320,0.81,3.01E-07,10.963,18.088,"haemolysin-III, putative "
LOC_Os06g14780,0.81,2.09E-11,13.124,21.672,expressed protein
LOC_Os08g25310,0.81,9.82E-12,24.755,40.858,"phosphatidylinositol transfer, putative "
LOC_Os02g38120,0.81,2.49E-10,8.796,14.497,BTBN3 - Bric-a-Brac Tramtrack Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 domain 
LOC_Os05g47650,0.81,5.53E-09,9.241,15.220,B3 DNA binding domain containing protein 
LOC_Os01g45910,0.81,1.03E-10,46.005,75.687,"plastidic ATP/ADP-transporter, putative "
LOC_Os02g26700,0.81,3.06E-09,155.016,255.420,"cation transport regulator-like protein 1, putative "
LOC_Os02g10700,0.81,5.72E-09,143.447,236.123,OsFBL7 - F-box domain and LRR containing protein 
LOC_Os01g18850,0.81,6.80E-10,19.523,32.052,OsSPL1 - SBP-box gene family member 
LOC_Os05g41220,0.81,7.65E-10,10.146,16.761,"SNF1-related protein kinase regulatory subunit beta-1, putative "
LOC_Os01g57460,0.81,5.23E-10,8.462,13.923,"frataxin, putative "
LOC_Os10g40510,0.81,9.74E-08,239.315,393.183,LTPL144 - Protease inhibitor/seed storage/LTP family protein precursor 
LOC_Os03g14050,0.81,3.13E-09,15.844,26.125,"thaumatin-like protein 1 precursor, putative "
LOC_Os07g23660,0.80,2.70E-06,72.572,120.039,"retrotransposon protein, putative unclassified "
LOC_Os11g29720,0.80,9.08E-07,57.120,94.230,"cytochrome P450, putative "
LOC_Os01g69030,0.80,1.84E-05,1.441,2.368,"sucrose-phosphate synthase, putative "
LOC_Os06g40650,0.80,1.93E-05,64.738,105.601,"copine-1, putative "
LOC_Os07g32380,0.80,3.32E-09,79.063,129.572,"protein phosphatase 2C, putative "
LOC_Os05g11560,0.80,1.66E-05,7.391,12.070,"aquaporin protein, putative "
LOC_Os06g50390,0.80,2.79E-09,10.644,17.441,eukaryotic aspartyl protease domain containing protein 
LOC_Os06g12790,0.80,3.43E-09,8.584,14.138,"ras-related protein, putative "
LOC_Os06g48590,0.80,8.29E-12,52.715,86.500,"CGMC_MAPKCMGC_2_SLT2y_ERK.2 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases"
LOC_Os02g36390,0.80,1.49E-10,9.902,16.229,"nucleotide-sugar transporter family protein, putative "
LOC_Os01g16170,0.80,1.98E-05,2.231,3.660,PQ loop repeat domain containing protein 
LOC_Os04g50770,0.80,4.45E-07,6.672,10.887,"MYB family transcription factor, putative "
LOC_Os09g28850,0.80,3.99E-05,2.814,4.623,expressed protein
LOC_Os10g30790,0.80,2.45E-05,33.995,55.312,"inorganic phosphate transporter, putative "
LOC_Os07g36820,0.80,1.11E-09,22.353,36.505,"uncharacterized Cys-rich domain containing protein, putative "
LOC_Os09g29490,0.80,1.59E-09,30.067,49.429,"peroxidase precursor, putative "
LOC_Os01g68740,0.80,9.19E-05,100.472,163.081,"keratin, type I cytoskeletal 9, putative "
LOC_Os08g01940,0.80,3.38E-07,16.425,26.730,"non-lysosomal glucosylceramidase, putative "
LOC_Os07g26000,0.80,2.58E-11,19.579,31.982,OsFBX235 - F-box domain containing protein 
LOC_Os02g54254,0.80,2.10E-09,18.206,29.673,"saccharopine dehydrogenase, putative "
LOC_Os09g32470,0.79,5.93E-07,9.633,15.818,"membrane protein, putative "
LOC_Os07g47390,0.79,6.13E-05,5.994,9.779,"C2 domain containing protein, putative "
LOC_Os10g21560,0.79,1.06E-09,28.334,46.049,"no apical meristem protein, putative "
LOC_Os09g29660,0.79,8.77E-08,22.924,37.166,"white-brown complex homolog protein 11, putative "
LOC_Os06g46330,0.79,4.39E-08,13.354,21.656,Protein kinase domain containing protein 
LOC_Os09g39020,0.79,2.35E-07,5.541,8.992,"N-rich protein, putative "
LOC_Os02g30320,0.79,6.63E-10,18.250,29.634,"drought-induced protein 1, putative "
LOC_Os03g48660,0.79,8.90E-11,24.894,40.412,"DUF1336 domain containing protein, "
LOC_Os03g63060,0.79,7.01E-11,11.051,17.977,"P21-Rho-binding domain containing protein, putative "
LOC_Os01g60309,0.79,1.99E-08,9.992,16.187,"retrotransposon protein, putative Ty1-copia subclass, "
LOC_Os08g29660,0.79,1.62E-10,15.278,24.828,WRKY69 
LOC_Os04g33150,0.79,1.22E-05,33.860,55.366,"desiccation-related protein PCC13-62 precursor, putative "
LOC_Os05g27340,0.79,7.03E-10,36.814,59.807,expressed protein
LOC_Os05g38390,0.79,2.51E-07,8.950,14.540,"laccase precursor protein, putative "
LOC_Os07g30150,0.79,5.09E-05,4.599,7.508,"phosphoribosyl transferase, putative "
LOC_Os07g10840,0.79,2.06E-05,8.122,13.095,"uncharacterized glycosyltransferase, putative "
LOC_Os04g45570,0.79,5.18E-08,21.850,35.295,expressed protein
LOC_Os08g34984,0.78,1.56E-07,9.510,15.417,DUF581 domain containing protein 
LOC_Os01g72130,0.78,4.49E-09,155.244,250.557,"glutathione S-transferase, putative "
LOC_Os05g50810,0.78,7.93E-10,42.964,69.377,CAMK_CAMK_like.5 - CAMK includes calcium/calmodulin depedent protein kinases 
LOC_Os05g03480,0.78,8.04E-09,35.347,57.107,"acyl-coenzyme A dehydrogenase, mitochondrial precursor, putative "
LOC_Os10g37500,0.78,2.62E-07,10.624,17.117,"AAA-type ATPase family protein, putative "
LOC_Os08g44210,0.78,2.79E-11,48.213,78.094,"dihydroneopterin aldolase, putative "
LOC_Os05g42080,0.78,1.73E-08,59.341,95.940,expressed protein
LOC_Os08g06540,0.78,1.52E-07,24.821,39.944,expressed protein
LOC_Os09g20024,0.78,7.87E-07,17.800,28.679,expressed protein
LOC_Os04g38390,0.78,5.11E-11,35.433,57.257,"wound/stress protein, putative "
LOC_Os01g53260,0.78,1.49E-06,15.118,24.325,WRKY23 
LOC_Os09g31120,0.78,1.59E-06,42.194,67.719,"pirin, putative "
LOC_Os05g42350,0.78,8.48E-10,44.970,72.432,"ferredoxin--nitrite reductase, putative "
LOC_Os02g44870,0.78,1.41E-07,264.692,425.102,"dehydrin, putative "
LOC_Os07g19530,0.78,4.38E-09,21.177,34.073,"peptidase, putative "
LOC_Os03g61960,0.78,2.91E-10,290.966,468.594,2Fe-2S iron-sulfur cluster binding domain containing protein 
LOC_Os01g13800,0.78,5.57E-11,23.163,37.403,"receptor-like protein kinase 5 precursor, putative "
LOC_Os05g45840,0.78,3.05E-06,18.127,29.048,"GTPase-activating protein, putative "
LOC_Os03g52720,0.78,1.39E-06,21.610,34.663,"magnesium-dependent phosphatase 1, putative "
LOC_Os02g40840,0.77,1.12E-09,19.875,31.937,"alcohol oxidase, putative "
LOC_Os07g04940,0.77,1.10E-05,72.141,115.394,"uncharacterized PE-PGRS family protein PE_PGRS54 precursor, putative "
LOC_Os03g27230,0.77,6.80E-10,80.975,130.046,"phospho-2-dehydro-3-deoxyheptonate aldolase, chloroplast precursor, putative "
LOC_Os12g03800,0.77,1.58E-07,28.333,45.398,expressed protein
LOC_Os01g72340,0.77,3.56E-10,20.868,33.521,"beta-galactosidase, putative "
LOC_Os06g34730,0.77,8.28E-10,21.914,35.274,expressed protein
LOC_Os10g32680,0.77,6.23E-10,26.132,41.869,expressed protein
LOC_Os06g01980,0.77,6.54E-10,12.665,20.304,"AAA family ATPase, putative "
LOC_Os09g30160,0.77,5.08E-09,25.978,41.726,zinc finger C3HC4 type domain containing protein 
LOC_Os02g52780,0.77,3.29E-08,29.202,46.596,"bZIP transcription factor, putative "
LOC_Os09g32040,0.77,1.25E-07,17.774,28.324,"no apical meristem protein, putative "
LOC_Os07g44450,0.77,1.45E-06,9.333,14.976,"dirigent, putative "
LOC_Os04g44530,0.77,1.88E-08,21.786,34.735,expressed protein
LOC_Os02g12750,0.76,2.56E-08,13.399,21.498,"tetraspanin family protein, putative "
LOC_Os03g14090,0.76,3.59E-05,7.490,11.883,"armadillo/beta-catenin repeat family protein, putative "
LOC_Os02g56750,0.76,3.13E-06,6.555,10.536,OsFBX65 - F-box domain containing protein 
LOC_Os03g59880,0.76,1.24E-05,9.078,14.449,expressed protein
LOC_Os03g32580,0.76,1.66E-10,230.577,368.698,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative "
LOC_Os04g02050,0.76,1.67E-07,7.416,11.832,"bifunctional 3-phosphoadenosine 5-phosphosulfate synthetase, putative "
LOC_Os05g46250,0.76,2.34E-09,18.072,28.728,DUF1230 domain containing protein 
LOC_Os11g02080,0.76,4.05E-10,51.680,82.321,expressed protein
LOC_Os01g09620,0.76,1.89E-07,27.149,43.166,"zinc finger/CCCH transcription factor, putative "
LOC_Os02g43906,0.76,1.25E-08,13.691,21.747,"ceramide kinase-related, putative "
LOC_Os01g02350,0.76,5.01E-07,8.451,13.386,"receptor-like kinase ARK1AS, putative "
LOC_Os12g03720,0.76,5.84E-05,12.047,19.010,"glucosamine--fructose-6-phosphate aminotransferase 1, putative "
LOC_Os10g38954,0.76,2.75E-08,52.822,84.306,hypothetical protein
LOC_Os01g14440,0.75,5.55E-07,35.266,55.755,WRKY1 
LOC_Os12g17880,0.75,7.09E-05,9.306,14.659,"armadillo/beta-catenin repeat protein-related, putative "
LOC_Os01g72380,0.75,6.36E-08,6.659,10.547,expressed protein
LOC_Os02g11760,0.75,1.06E-08,6.915,10.946,"pleiotropic drug resistance protein, putative "
LOC_Os05g33820,0.75,3.84E-08,24.126,38.176,"lipase, putative "
LOC_Os08g02300,0.75,3.23E-06,4.971,7.864,"no apical meristem protein, putative "
LOC_Os12g08090,0.75,5.55E-05,3.875,6.179,"amino acid transporter, putative "
LOC_Os02g54730,0.75,4.71E-08,7.917,12.529,"transmembrane amino acid transporter protein, putative "
LOC_Os04g46440,0.75,9.59E-06,9.185,14.525,AP2 domain containing protein 
LOC_Os03g53200,0.75,1.75E-09,58.237,91.975,OsCML4 - Calmodulin-related calcium sensor protein 
LOC_Os08g32970,0.75,1.37E-07,17.283,27.466,"annexin, putative "
LOC_Os01g26039,0.75,3.41E-08,5.823,9.236,expressed protein
LOC_Os01g65692,0.75,8.95E-05,7.281,11.527,expressed protein
LOC_Os03g16610,0.75,9.49E-09,17.114,27.132,"laccase precursor protein, putative "
LOC_Os03g20370,0.75,1.12E-09,363.988,573.426,OsCam1-1 - Calmodulin 
LOC_Os01g52640,0.75,6.49E-10,11.767,18.578,"suppressor of phythchrome A, putative "
LOC_Os02g35010,0.75,2.93E-09,8.739,13.807,"STE_MEKK_ste11_MAP3K.9 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast"
LOC_Os04g44750,0.74,2.02E-07,14.106,22.155,"transporter family protein, putative "
LOC_Os01g10080,0.74,2.65E-05,10.602,16.792,expressed protein
LOC_Os08g44810,0.74,3.98E-10,29.655,46.631,"lactate/malate dehydrogenase, putative "
LOC_Os02g02600,0.74,1.69E-05,24.743,38.686,"serine/threonine-protein kinase Cx32, chloroplast precursor, putative "
LOC_Os02g19820,0.74,2.47E-06,40.674,64.348,"nodulin MtN3 family protein, putative "
LOC_Os05g15630,0.74,3.42E-06,67.280,105.188,"membrane associated DUF588 domain containing protein, putative "
LOC_Os02g05920,0.74,1.11E-05,5.350,8.364,"phytosulfokine receptor precursor, putative "
LOC_Os06g51360,0.74,2.59E-06,5.697,8.923,"lysM domain containing protein, putative "
LOC_Os09g13920,0.74,2.32E-08,14.607,22.935,expressed protein
LOC_Os06g45060,0.74,2.90E-06,14.555,22.833,expressed protein
LOC_Os10g38950,0.74,1.15E-07,44.058,68.956,"CGMC_MAPKCMGC_2_ERK.14 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, "
LOC_Os01g14550,0.74,9.90E-09,17.808,27.949,"pathogen-related protein, putative "
LOC_Os04g52540,0.74,2.66E-08,6.655,10.443,"retrotransposon protein, putative unclassified "
LOC_Os01g15000,0.73,9.13E-05,5.051,7.860,"lipase, putative "
LOC_Os04g47360,0.73,1.92E-06,9.483,14.863,OsPOP9 - Putative Prolyl Oligopeptidase homologue 
LOC_Os03g51640,0.73,1.63E-05,29.097,45.295,expressed protein
LOC_Os08g43470,0.73,1.17E-06,53.941,83.993,"ER lumen protein retaining receptor, putative "
LOC_Os01g15340,0.73,5.37E-06,65.123,102.292,"flowering promoting factor-like 1, putative "
LOC_Os07g44820,0.73,4.88E-10,24.303,38.028,expressed protein
LOC_Os02g51410,0.73,4.63E-08,30.044,46.848,"shikimate kinase, putative "
LOC_Os05g31750,0.73,6.77E-07,21.373,33.381,"annexin, putative "
LOC_Os01g09020,0.73,2.25E-09,14.151,22.104,WD domain G-beta repeat domain containing protein 
LOC_Os05g29880,0.73,1.94E-07,9.612,14.990,"3-hydroxyacyl-CoA dehydrogenase, putative "
LOC_Os12g02760,0.73,9.87E-07,17.498,27.492,"DUF567 domain containing protein, putative "
LOC_Os03g53800,0.73,2.62E-07,195.171,303.998,"periplasmic beta-glucosidase precursor, putative "
LOC_Os09g38320,0.73,1.37E-05,10.340,16.104,"phytoene synthase, chloroplast precursor, putative "
LOC_Os03g18120,0.73,4.67E-07,15.135,23.655, proteins of unknown function domain containing protein 
LOC_Os05g48260,0.73,7.49E-08,9.312,14.526,"wax synthase, putative "
LOC_Os01g65900,0.73,1.02E-06,47.389,73.687,"chitin-inducible gibberellin-responsive protein, putative "
LOC_Os06g47470,0.73,2.15E-06,16.282,25.308,TKL_IRAK_DUF26-lh.2 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os06g14370,0.73,2.02E-07,52.041,81.079,"caleosin related protein, putative "
LOC_Os02g57420,0.73,7.17E-08,16.021,24.894,"protein kinase APK1A, chloroplast precursor, putative "
LOC_Os09g34320,0.73,1.46E-07,8.550,13.358,expressed protein
LOC_Os11g35340,0.73,1.52E-09,41.486,64.517,"methyltransferase, putative "
LOC_Os06g02144,0.73,6.43E-07,272.636,422.580,"6-phosphogluconate dehydrogenase, decarboxylating, putative "
LOC_Os09g04310,0.72,1.02E-05,14.198,21.977,expressed protein
LOC_Os02g46910,0.72,1.90E-05,3.323,5.171,"glycosyl hydrolases family 16, putative "
LOC_Os10g05730,0.72,2.28E-05,8.900,13.788,"armadillo/beta-catenin repeat family protein, putative "
LOC_Os06g04880,0.72,8.89E-06,15.669,24.239,"serine threonine kinase, putative "
LOC_Os06g48770,0.72,8.32E-07,18.509,28.631,OsSBeL1 - Putative Serine Beta-Lactamase homologue 
LOC_Os05g39410,0.72,5.11E-06,6.765,10.465,expressed protein
LOC_Os09g05020,0.72,1.91E-06,7.449,11.578,"tyrosine phosphatase family protein, putative "
LOC_Os02g45170,0.72,9.44E-09,9.672,15.064,"helix-loop-helix DNA-binding protein, putative "
LOC_Os06g06470,0.72,8.80E-09,77.860,120.585,"U-box domain containing heat shock protein, putative "
LOC_Os10g34470,0.72,1.15E-07,60.211,93.113,"HD domain containing protein 2, putative "
LOC_Os01g72940,0.72,1.58E-05,19.817,30.523,"phosphatidylserine decarboxylase, putative "
LOC_Os03g31550,0.72,2.16E-09,18.779,29.058,"aldehyde oxidase, putative "
LOC_Os02g55520,0.72,3.44E-07,20.332,31.370,"zinc finger, C3HC4 type domain containing protein"
LOC_Os12g29330,0.72,1.24E-05,29.094,44.749,"no apical meristem protein, putative "
LOC_Os11g34860,0.72,6.56E-08,27.375,42.226,"palmitoyltransferase TIP1, putative "
LOC_Os09g14670,0.72,4.46E-07,18.724,28.863,"phosphoenolpyruvate carboxylase, putative "
LOC_Os04g52840,0.72,5.11E-07,31.661,48.857,"tyrosine protein kinase domain containing protein, putative "
LOC_Os07g41200,0.72,1.41E-07,12.291,18.956,expressed protein
LOC_Os06g04090,0.72,2.52E-09,14.171,21.922,"no apical meristem protein, putative "
LOC_Os03g07890,0.72,3.01E-07,15.711,24.211,"mitochondrial carrier protein, putative "
LOC_Os07g19540,0.71,8.99E-05,12.201,18.821,expressed protein
LOC_Os03g38970,0.71,1.56E-08,13.057,20.161,"metal ion binding protein, putative "
LOC_Os05g11900,0.71,3.87E-06,21.289,32.812,expressed protein
LOC_Os01g72520,0.71,3.81E-08,27.692,42.920,"phosphoesterase family protein, putative "
LOC_Os04g50020,0.71,4.11E-06,20.886,32.141,"heavy-metal-associated domain-containing protein, putative "
LOC_Os03g25440,0.71,1.12E-05,14.029,21.557,expressed protein
LOC_Os10g31950,0.71,1.75E-06,102.022,156.740,"3-ketoacyl-CoA thiolase, peroxisomal precursor, putative "
LOC_Os01g70210,0.71,6.11E-07,52.328,80.476,CRAL/TRIO domain containing protein 
LOC_Os03g18770,0.71,8.05E-09,206.725,320.115,"wound-induced protein WI12, putative "
LOC_Os12g17090,0.71,9.66E-08,11.935,18.456,"stripe rust resistance protein Yr10, putative "
LOC_Os02g45180,0.71,2.62E-09,49.255,75.956,"ORM1, putative "
LOC_Os07g44950,0.71,7.16E-08,16.906,25.988,bZIP transcription factor domain containing protein 
LOC_Os05g04820,0.71,6.08E-07,12.610,19.377,"MYB family transcription factor, putative "
LOC_Os03g07200,0.71,8.87E-05,4.308,6.618,expressed protein
LOC_Os06g37610,0.71,6.17E-07,28.123,43.169,"Cyclopropane-fatty-acyl-phospholipid synthase, putative "
LOC_Os01g63970,0.71,9.02E-06,9.913,15.202,"sialyltransferase family domain containing protein, "
LOC_Os06g50900,0.71,6.99E-09,12.421,19.143,expressed protein
LOC_Os08g39450,0.71,5.88E-09,99.082,152.565,AN1-like zinc finger domain containing protein 
LOC_Os08g34280,0.71,2.95E-08,114.225,175.376,"cinnamoyl-CoA reductase, putative "
LOC_Os04g52504,0.71,1.24E-07,84.567,130.005,"adhesive/proline-rich protein, putative "
LOC_Os09g26700,0.71,9.79E-05,25.699,39.251,"choline/ethanolamine kinase, putative "
LOC_Os03g56420,0.71,8.96E-08,13.982,21.453,expressed protein
LOC_Os01g70270,0.71,2.14E-08,52.131,79.999,"auxin response factor, putative "
LOC_Os03g38540,0.71,8.09E-06,11.899,18.403,"folic acid binding protein, putative "
LOC_Os12g19304,0.71,3.94E-08,9.414,14.508,Fe-S metabolism associated domain containing protein 
LOC_Os03g52284,0.71,1.53E-07,110.694,169.809,expressed protein
LOC_Os03g48710,0.71,1.05E-08,10.040,15.418,expressed protein
LOC_Os12g18630,0.71,2.85E-09,32.958,50.613,expressed protein
LOC_Os01g08760,0.71,5.11E-07,12.511,19.202,"choline/ethanolamine kinase, putative "
LOC_Os08g28880,0.71,2.15E-05,9.354,14.365,"patatin, putative "
LOC_Os07g42714,0.70,2.59E-07,7.343,11.326,expressed protein
LOC_Os05g05600,0.70,2.81E-07,4.890,7.517,"ATA15 protein, putative "
LOC_Os11g44950,0.70,2.33E-08,7.108,10.913,"glycosyl hydrolase family 3 protein, putative "
LOC_Os01g27750,0.70,2.39E-07,47.128,71.996,"bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase,chloroplast precursor, putative "
LOC_Os05g35170,0.70,4.60E-07,287.551,438.916,"no apical meristem protein, putative "
LOC_Os10g03570,0.70,5.80E-07,11.125,16.979,"RGH1A, putative "
LOC_Os04g44820,0.70,1.67E-07,16.614,25.495,"zinc finger, C3HC4 type domain containing protein"
